RR,S Samson,9.5,WK,202,N
RR,J Buttler,9.5,WK,54,N
CSK,M Dhoni,8.5,WK,6,N
RR,A Rawat,8,WK,0,N
CSK,N Jagadeesan,8,WK,0,N
CSK,F d Plessis,10,BAT,67,N
CSK,S Raina,9.5,BAT,92,N
RR,D Miller,9,BAT,101,N
CSK,A Rayudu,9,BAT,36,N
CSK,R Gaikwad,8.5,BAT,13,N
RR,L Livingstone,8.5,BAT,0,N
CSK,R Uthappa,8.5,BAT,0,N
RR,Y Jaiswal,8,BAT,0,N
RR,R Parag,8,BAT,93,N
CSK,C H Nishanth,8,BAT,0,N
RR,M Lomror,8,BAT,0,N
RR,M Vohra,8,BAT,34,N
CSK,C Pujara,8,BAT,0,N
RR,C Morris,9.5,AR,145,N
CSK,S Curran,9,AR,101,N
RR,R Tewatia,9,AR,41,N
CSK,M Ali,9,AR,162,N
CSK,R Jadeja,9,AR,75,N
RR,S Dube,8.5,AR,40,N
CSK,K Gowtham,8,AR,0,N
CSK,M Santner,8,AR,0,N
CSK,B Varma,7.5,AR,0,N
RR,J Archer,9,BOWL,0,N
CSK,L Ngidi,8.5,BOWL,0,N
RR,S Gopal,8.5,BOWL,-2,N
CSK,S Thakur,8.5,BOWL,68,N
RR,M Rahman,8.5,BOWL,62,N
CSK,D Chahar,8.5,BOWL,142,N
CSK,I Tahir,8.5,BOWL,0,N
RR,J Unadkat,8.5,BOWL,110,N
CSK,D Bravo,8.5,BOWL,64,N
RR,A Singh,8,BOWL,0,N
CSK,H Reddy,8,BOWL,0,N
RR,M Markande,8,BOWL,0,N
RR,C Sakariya,8,BOWL,95,N
RR,K Tyagi,8,BOWL,0,N
CSK,K Asif,8,BOWL,0,N
CSK,R S Kishore,8,BOWL,0,N
RR,K Cariappa,8,BOWL,0,N
RR,A Tye,8,BOWL,0,N
CSK,J Behrendorff,8,BOWL,0,N
CSK,K Sharma,8,BOWL,0,N
RR,K Yadav,7.5,BOWL,0,N
