CSK vs RR
CK vs OCC
OCC vs CK
PKC vs BAA
NEP vs MAL
VCC vs VID
BAA vs VID
VCC vs PKC
MD vs IR
IR vs MD
INV vs BAA
NEP vs NED
CRC vs PKC
VIA vs INV
CRC vs VID
DC vs MI
IR vs GOR
GOR vs IR
SL vs BAN
MAL vs NED
VCC vs VIA
BAA vs VCC
ZIM vs PAK
PBKS vs SRH
VIA vs PKC
PKC vs VID
KOL vs CSK
GOR vs OEI
OEI vs GOR
VID vs INV
NEP vs MAL
VCC vs CRC
WAS vs ESS
CRC vs BAA
BAA vs VIA
BLR vs RR
OEI vs OCC
OCC vs OEI
VCC vs INV
SAL vs VIA
ZIM vs PAK
PKC vs INV
VCC vs SAL
PBKS vs MI
OCC vs MD
MD vs OCC
SAL vs BAA
TBC vs TBC
CRC vs INV
PKC vs SAL
SAL vs INV
RR vs KOL
